Page Key,Back（請填：返回行為/返回到哪裡？如果不適用寫：無）,Data Needed - Display（請填：要顯示的資料欄位。例：任務名/幣別/金額，用•分隔）,Data Needed - Input（請填：要輸入/選擇的欄位。沒有就寫：無，用•分隔）,Entry（請填：從哪裡進來？列出來源頁/按鈕/情境，可多條，用•分隔）,Exit/Next（請填：主要完成後會去哪？列出目標頁/行為，用•分隔）,Old Page Key,Primary Actions（請填：主要操作/按鈕，最多3個，用•分隔）,Purpose（請填：這頁存在的目的/要解決的問題，1-2句）,Rules/Constraints（請填：重要規則/限制/防呆。例：單選/上限15/once-only，用•分隔）,UI Blocks（請填：畫面區塊組成。例：TopBar/列表/表單/按鈕區，用•分隔）,Variants,wireframe page,備註,頁面名稱,類型
B07_PaymentMethod.Edit,關閉或取消→回S15（不保存）•保存→回S15（回寫支付摘要）,費用總金額（totalAmount）•勾選狀態（預收款支付•成員代墊）•成員代墊總額（memberAdvanceTotal）•成員代墊明細（memberId→amount）•差額狀態（是否平衡）,勾選或取消成員代墊•成員清單每人金額輸入（0=未選取）,S15點選支付方式列,保存→回S15並更新摘要•取消→回S15不變,B07_PaymentMethod.Select,保存•取消•輸入金額,設定費用的支付方式為成員代墊。可與預收款支付混用並維持總額平衡。,method=member_advance•用在費用•輸入方式同金額分攤：每人金額欄位且金額=0視為未選取•Default：所有成員代墊金額=0•自動補差：雙方都啟用時最後編輯者為主另一側自動更新以使合計=totalAmount•你定案B：若只啟用成員代墊且未啟用預收款支付則必須分配使 memberAdvanceTotal=totalAmount 否則保存disabled,BottomSheetHeader•MemberAdvanceSection（checkbox）•MemberAmountList•SummaryFooter（總額•代墊合計•差額）•ButtonRow（取消•保存）,data=members,29,你定案B已套用：只選成員代墊且合計不足→保存disabled。,支付方式選單(成員代墊),BottomSheet
B07_PaymentMethod.Edit,關閉或取消→回S15（不保存）•保存→回S15（回寫支付摘要）,費用總金額（totalAmount）•可用預收款餘額（prepayBalance）•勾選狀態（預收款支付•成員代墊）•預收款支付金額（prepayPayAmount）•成員代墊總額（memberAdvanceTotal）•差額狀態（是否平衡）,勾選或取消預收款支付•預收款支付金額輸入（初始自動=totalAmount）,S15點選支付方式列,保存→回S15並更新摘要•取消→回S15不變,B07_PaymentMethod.Select,保存•取消•輸入金額,設定費用的支付方式為預收款支付並可手動輸入金額。可與成員代墊混用並維持總額平衡。,method=prepay•用在費用•可同時啟用預收款支付與成員代墊•Default：預收款支付金額預設=totalAmount；成員代墊各成員預設0•自動補差：最後被使用者編輯的那一側為主另一側自動更新以使合計=totalAmount•若僅啟用預收款支付則預收款支付=totalAmount且保存可按,BottomSheetHeader•PrepaySection（checkbox與amount input）•SummaryFooter（總額•預收款支付•代墊•差額）•ButtonRow（取消•保存）,data=prepay,28,命名已定案：B07_PaymentMethod.Select。,支付方式選單(預收款),BottomSheet
S52_TaskSettings.Log,返回到 S14,操作者頭像•操作者名稱•時間戳記(YYYY/MM/DD HH:mm)•事件文案•(可選)金額•(可選)幣別,無,S14 > 歷史紀錄,下載帳單 > Share Sheet(匯出PDF)•返回到 S14,S11_TaskHistory.Log,下載帳單•返回,提供任務內所有操作的歷史記錄，方便回溯與匯出保存。,只讀不可編輯•一次載入50筆•往下滑自動載入更多(每次+50)•事件內容固定格式僅顯示•下載範圍=全部記錄•下載以Share Sheet輸出PDF,TopBar(返回+標題)•LogList(InfiniteScroll)•BottomPrimaryButton(下載帳單),,31,下載內容為帳單PDF（依專案聖經）。,歷史紀錄,Screen
D09_TaskSettings.CurrencyConfirm,無,目前結算幣別•變更後結算幣別•影響說明文,確認/取消,S14•使用者變更「結算幣別」時（每次變更都觸發）,取消→回復成原結算幣別(不保存)•確認→套用新結算幣別並重新計算/重抓匯率,D09_BaseCurrencyChangeConfirm,取消•確認,在使用者變更結算幣別前，明確告知影響並避免誤操作造成大幅資料變動。,每次變更結算幣別都要顯示（非 once-only）•確認後：所有換算金額重新計算•需要匯率的項目回到 API 預設值（使用者曾手動改過也會被重置）•取消則不保存此變更,AlertDialog•TitleText•BodyText(影響說明)•DialogActions(取消/確認),,,每次變更結算幣別都要顯示 dialog。,變更結算幣別確認,Dialog
S13_Task.Dashboard,返回上一層（依導航：Home 或 上一個Screen）,任務名•結算幣別•我的結算額（可收回/需支付）•日期區塊•各紀錄摘要（類型/金額/換算）,無,S13（預設進入）•S13（個人）切換,留在本頁（切換 segment）•點某筆紀錄→ S15（費用/預收，依類型）,S06_TaskDashboard.Main,切換Segment（大家/個人）,提供任務主頁資訊總覽；此variant顯示『個人』視角（只看與自己相關的金額與紀錄）。,Segment=個人•資料同S13但篩選為個人相關•清單可往下滑 load more / infinite scroll,TopBar/SegmentedControl/DateSectionsList/RecordRow/BottomNav,"• mode=active
• segment=personal
• trip_range=all",19,,任務主畫面（個人）,Screen
D08_TaskClosed.Confirm,關閉Dialog，返回 S12,任務名稱•資料保留30天提示•不可回復提示文案,無,S12•點「結束任務」,點「結束任務」→ 執行 CloseTask（強制結束）→ 前往 S13(mode=closed)•點「返回」→ 關閉Dialog,D08_TaskClose.Confirm,返回•結束任務,強制結束任務前的確認；確認後直接結束任務並進入唯讀下載模式。,確認後不可回復•結束後資料僅保留30天•結束後僅提供下載帳單,DialogTitle•DialogBodyText•ButtonRow(返回/結束任務),,47,強制結束流程：S10 → S12 → D08 → S13(mode=close)。此步即執行結束。,結束任務確認,Dialog
S13_Task.Dashboard,返回上一層（Home）,任務名•結算幣別•結束提示文案•帳單下載狀態,無,任務已結束（close）→ 進入 S13（mode=close）,點【下載帳單】→ Share Sheet（使用者選擇存放位置）,S06_TaskDashboard.Main,下載帳單,任務結束後的唯讀主畫面：顯示結束狀態與提供帳單下載。,mode=close•唯讀（所有編輯入口灰階/不可點）•資料保留30天，逾期刪除•下載範圍=全部•下載後走 Share Sheet,TopBar/CloseStateAnimation/NoticeText/PrimaryButton,mode=closed,33,"強制結束任務後回到 Dashboard 看到的狀態（Q23=B）
此mode下畫面只有動畫+下載按鈕；其他功能皆不可用
任務設定入口灰階不可點。",任務主畫面（結束後）,Screen
B04_Payment.Merge,關閉 BottomSheet（不保存任何變更）,代表成員(頭像/名稱/應付或應收金額)•可選擇成員清單(頭像/名稱/應付或應收金額/勾選狀態),勾選要合併的成員(多選),S30（成員卡右側『合併』）,合併→ 回 S14 並套用合併狀態•取消→ 關閉 BottomSheet,B04_Payment.Merge,合併•取消,讓使用者把多位成員的支付/退款行為合併到同一位代表成員，減少實際付款/退款筆數。,至少勾選 1 位成員才可按『合併』•可取消勾選(回到本 BottomSheet 並帶入目前合併狀態)•『代表成員』= 從哪張卡點『合併』進來的那個人•代表成員不可被其他人合併(全域禁止)•僅顯示尚未成為代表成員/尚未被合併的成員（依你規則）,BottomSheetHeader(標題/說明)•代表成員區塊•可選擇成員列表(checkbox)•BottomBar(取消/合併),,36,回到本頁需帶入目前合併狀態（勾選可取消）。,合併成員設定,BottomSheet
S13_Task.Dashboard,無（此模式為結算後/結束後儀表板；任務設定 icon 灰階不可點）,任務名•結算幣別•隊長應收總額•餘額罐得主•待處理成員(頭像/名稱/應付或應收金額/狀態)•已處理成員(頭像/名稱/應付或應收金額/狀態),無,強制結束流程：S10→S12→D08→ 本頁(mode=close)•或正常結算完成後進入（依你後續定義）,通知成員→ 系統行為(分享/通知)•下載帳單→ Share Sheet(帳單CSV/檔案由使用者決定存放位置),S06_TaskDashboard.Main,通知成員•下載帳單,在任務結束後提供最終結果總覽與下載帳單入口；不再允許編輯任務資料。,此模式無『個人』頁與 Segment 切換•內容僅顯示（不可編輯）•結算額=0 仍需顯示•狀態可標示待處理/已處理（隊長可操作的行為另由流程定義）,TopBar(Home/任務名/設定icon-disabled)•結算摘要卡•提示/說明區（可選）•待處理區(列表)•已處理區(列表)•BottomBar(通知成員/下載帳單),"• mode=settled
• state=pending",41,結算後不再有『個人』頁；只有下載與通知。,任務主畫面（結算後）,Screen
S71_SystemSettings.Tos,返回 → 回到呼叫端（S50或 S70）,文件標題（服務條款/隱私政策） • 文件URL • Web內容,無,S50 → 點「服務條款」/「隱私政策」 • S70 → 點「服務條款」/「隱私政策」,返回 → 回到上一頁,S19_Settings.Tos,返回 • 重新整理 • 在瀏覽器開啟,在 App 內以 WebView 顯示服務條款/隱私政策，讓使用者可隨時查閱；不需要離開 App。,doc=tos / doc=privacy 依入口按鈕決定（兩個 URL） • 以 in-app WebView 顯示 • 預設載入成功時隱藏 Loading • 讀取失敗/離線時顯示 Error State（可重試/可外部瀏覽器開啟）,TopAppBar(標題/返回) • WebView • Loading Indicator • Error State(重試/外部瀏覽器開啟),• data=tos | privacy,,兩個 URL：ToS 與 PrivacyPolicy 分開。入口可能來自 Onboarding 同意頁（S50）或系統設定頁（S70），返回必須回到呼叫端；若需記錄來源，可用 route param `from=`（可選）。,服務條款 / 隱私政策（WebView）,Screen
B01_BalanceRule.Edit,下滑/點遮罩關閉→回S13（不變更）,目前選中的餘額處理方式;3個選項文案(餘額輪盤/平均分攤/我來請客);（若為我來請客）成員清單,單選規則(3選1);（若我來請客）單選1位成員,S13 點選餘額輪盤,確認→套用並關閉回S13,B01_BalanceRule.Select,確認;選擇規則;查看說明(i),讓使用者在結算前選擇餘額處理方式（結算計算一致）。,單選3選1;點Info(i)開說明Dialog;選我來請客時必須再選1位成員才可確認(未選確認disabled),BottomSheet;RadioList;MemberRadioList;InfoIconButton;PrimaryButton,data=roulette,12,wireframe 13 為「我來請客」展開成員單選清單狀態。,餘額處理方式選擇,BottomSheet
S00_System.Bootstrap,無,・動畫,無,"App啟動後,Deeplink","S50,S11,D02",S_System_Bootstrap,無,bootstrap,・動畫：英國農村風景插畫,animation,,,,啟動後首頁,Screen
S51_Onboarding.Name,無,・顯示名稱(輸入在APP裡使用者的顯示名稱的說明),名稱設定,S50,"S10,S71",S01_Onboarding.Name,・Primary: 設定,請使用者輸入App內顯示的名稱,"・名稱設定
- 長度：1-10個字
- 輸入框右下角顯示目前的字數長度。
- 禁止控制字元。
- 使用者名稱空白，開始按鈕無法點選","AppTopBar,BodyText,PrimaryButton,SystemKeyboard",,2,,首次使用：輸入名字/暱稱,Screen
S10_Home.TaskList,無,"・動畫
・任務清單
- 顯示現在執行中或已完成清單中無存在的任務(沒有任務)",無,"App啟動後,Deeplink,S51,S11","S11,S13",S02_Home.TaskList,・Primary: 新增任務,顯示所有任務的清單(Empty state),"・動畫：鐵公雞沒有穿盔甲的等候中的動畫，無聊托臉
・任務清單
- 無任務時顯示空狀態","AppTopBar,animation,PrimaryButton,List,Divider,SegmentedButton","• bucket=active 
• data=empty",3,,首頁：任務清單,Screen
S10_Home.TaskList,無,"・動畫
・任務清單(執行中)
- 該任務中自己所代表的農場動物頭像
- 任務名稱
- 任務期間",無,"App啟動後,Deeplink,S51","S12,S13,D08",S02_Home.TaskList,・Primary: 新增任務,顯示所有任務的清單(執行中),"・動畫：鐵公雞沒有穿盔甲的等候中的動畫，左右看，眼睛張大，眨眼
・任務清單
- 清單可以一直下滑
- 一次最多load10個任務資料，超過再追加10個
- 隊長可以左滑刪除未有紀錄且沒有成員的任務","AppTopBar,PrimaryButton,List,Divider,SegmentedButton,animation","• bucket=active 
• data=present",4,,首頁：任務清單,Screen
S70_System.Settings,S10,"・系統設定(標題)
・顯示名稱
・服務條款 / 隱私政策
・語言設定(Language: System/En/Zh/Ja)","・名稱設定
・語言設定(Language: System/En/Zh/Ja)",S10,S71,S03_Settings.System,無,系統設定,"・名稱設定
- 使用者名稱長度：1-10個字，
- 輸入框右下角顯示目前的字數長度。
- 禁止控制字元。
- 使用者名稱空白，開始按鈕無法點選","AppTopBar,TextField,NavigationList,NavigationListItem,ChevronIcon",,6,,系統設定,Screen
S11_Invite.Confirm,無,"・確認邀請(標題)
・動畫
・任務名稱",無,Deeplink,"S10,D01,D02",S04_Invite.Confirm,"・Primary: 確認
・Secondary: 取消",確認任務資料,"・動畫：鐵公雞拿著名單確認中
・成員清單
- 不顯示
- 按加入順序填滿任務成員名單","animation,ListText,PrimaryButton,SecondaryButton,AppTopBar",data=present,7,SNS 連結導入後：同意TOS→輸入名字→彈出確認，避免加錯群組,加入邀請：確認任務名稱,Screen
S11_Invite.Confirm,無,"・確認邀請(標題)
・動畫
・任務名稱
・成員
- 第一個文字的頭像
- 名稱
- 預收款總金額
- 預收款總金額",無,Deeplink,"S10,D02,S13",S04_Invite.Confirm,"・Primary: 確認
・Secondary: 取消",確認任務資料,"・動畫：鐵公雞拿著名單確認中
・成員清單
- 只有在任務裡已有紀錄存在後，才會需要連結成員，或成員名稱被手動更改
- 只能選1個成員(hidden radio button)","animation,ListText,PrimaryButton,SecondaryButton,List,ListItem,Divider,AppTopBar",data=members,8,・SNS 連結導入後：同意TOS→輸入名字→彈出確認，避免加錯群組,加入邀請：確認任務名稱,Screen
D02_Invite.Result,無,"・動畫
・說明加入任務失敗",無,"Deeplink,S11",S10,D02_InviteJoin.Error,・Secondary: 回首頁,成員加入任務失敗,"・動畫：鐵公雞拿手帕擦眼淚
目前涵蓋：邀請無效/過期、任務已被強制結束（細項之後再拆）","Text,BodyText,animation,SecondaryButton",outcome=failure,10,,加入邀請失敗/無法加入,Dialog
S16_TaskCreate.Edit,S10,"・回首頁(App bar)
・新增任務(標題)
・任務名稱(Text Field)
・開始期間(Text Field+ModalBottomSheet + CustomDatePicker)
・結束期間(Text Field+ModalBottomSheet + CustomDatePicker)
・結算幣別(ModalBottomSheet + CustomFXRatePicker)
・參加人數(ModalBottomSheet + CustomNumberPicker)
・保存按鈕","・任務名稱(Text Field)
・開始期間(Text Field+ModalBottomSheet + CustomDatePicker)
・結束期間(Text Field+ModalBottomSheet + CustomDatePicker)
・結算幣別(ModalBottomSheet + CustomFXRatePicker)
・參加人數(ModalBottomSheet + CustomNumberPicker)",S10,D03,S05_TaskCreate.Form,・Primary: 保存,新增任務，輸入任務資料,"・名稱設定(必須)
- 長度：1-20個字
- 輸入框右下角顯示目前的字數長度。
- 禁止控制字元。
- 必須輸入資料，保存按鈕無法點選
・開始期間(必須)
- 日期格式為YYYY/MM/DD
- 點選後下方出現滾輪式日期選單
- Default日期預設為新增任務當天，開始期間可以在過去
・結束期間(必須)
- 日期格式為YYYY/MM/DD
- 點選後下方出現滾輪式日期選單
- 開始日期與結束日期可以在同一天
- 結束日期不可以比開始日期小
- 開始日期設定後，如果結束日期比開始日期小會自動變更到與開始日期同一天
・結算幣別(必須)：
- Default會依據使用者當下使用的語言，中文→新台幣，日文→日幣, 英文→美金
- 使用者可以自由變更幣別。這個幣別會用在最後結算時，跟成員收款的幣別
・參與人數(必須)：限制人數為1-15人","AppTopBar,PrimaryButton,Keyboard,TextField,DateFieldListItem (ReadOnly),CustomDatePicker (Wheel M3-styled),ModalBottomSheet,TextButton,Divider,CustomFXRatePicker(Wheel M3-styled)),CustomNumberPicker(Wheel M3-styled)",data=present,11,,新增任務（表單）,Screen
D04_TaskCreate.Notice,無,"・任務設定尚未完成(標題)
・任務設定尚未完成的說明，詢問使用者是某要離開此畫面",無,S16,S10,D04_Common.UnsavedChanges,"・Primary: 返回編輯
・Secondary: 回首頁",從新增任務的畫面點選回首頁按鈕時，提示使用者資料建立未成功,TBD（請你補）,"Text,BodyText,PrimaryButton,SecondaryButton",data=unsaved,15,,離開提醒（未儲存）,Dialog
